Firm Name,Ownership,PE Funds Raised L10Y p.a. ($M),Year Est.,City,Team Size,PE Dry Powder per Person ($M),Total AUM ($M),AUM per Person ($M),PE AUM ($M),PD AUM ($M),PE Dry Powder ($M),PD Dry Powder ($M),PE Funds Raised 10Y ($M),PD Funds Raised 10Y ($M),PE Funds in Market,PE Funds Closed,PE Strategies,PD Strategies,What They're Known For
Blackstone,Independent Firm," 15,079  ",1985,New York,445,48,"10,100","2,722","165,000","484,000","21,548","9,527","150,787","49,192",54,73,"Buyout, Co-Investment, Complex Situation, Divestiture, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Hybrid, Public to Private, Recapitalisation, Reorganisation, Restructuring, Secondaries, Venture (General), pre-IPO","BDCs, CLOs, Direct Lending, Distressed Debt, Infrastructure Debt, Mezzanine, Real Estate Debt, Special Situations, Blended / Opportunistic Debt, Senior Debt","World's largest alternative asset manager ($1.2T+ AUM), mega-fund pioneer in PE, real estate, credit, infrastructure"
KKR,Independent Firm," 11,760  ",1976,New York,230,132,"664,319","2,888","215,000","261,000","30,259","6,128","117,595","35,151",17,52,"Buyout, Co-Investment, Complex Situation, Expansion / Late Stage, Growth, Management Buy-in, Management Buyout, PIPE, Public to Private, Restructuring, Secondaries, Spin-Offs, Turnaround","CLOs, Direct Lending, Distressed Debt, Mezzanine, Special Situations, Junior / Subordinated Debt, Mezzanine, Senior Debt","Global mega-fund pioneer known for large buyouts (RJR Nabisco), diversified across PE, credit, real estate, infrastructure"
Thoma Bravo,Independent Firm," 11,665  ",1980,Chicago,95,319,"179,300","1,887",-,-,"30,260","18,384","116,651","27,206",26,28,"Buyout, Co-Investment, Divestiture, Expansion / Late Stage, Growth, Management Buyout, Privatisation, Public to Private, Recapitalisation, Spin-Offs","Direct Lending, Junior / Subordinated Debt, Senior Debt","Software & technology PE specialist (largest software PE firm), focused on cybersecurity, infrastructure, applications, healthcare IT, edtech, fintech"
Apollo Global Management,Independent Firm," 10,615  ",1990,New York,774,41,"12,000","1,085","70,000","690,000","31,647","7,135","106,154","30,632",48,47,"Buyout, Co-Investment, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Hybrid, Management Buyout, Public to Private, Recapitalisation, Restructuring, Secondaries, Spin-Offs, Turnaround","BDCs, CLOs, Direct Lending, Distressed Debt, Mezzanine, Special Situations, Junior / Subordinated Debt, Mezzanine, Senior Debt","Mega alternative asset manager ($840B+ AUM) across PE, credit, insurance with private credit leadership"
Goldman Sachs XIG,Captive Arm – Bank," 6,588  ",1869,New York,801,44,"4,000","1,636",-,-,"35,294",-,"65,879",-,17,78,"Buyout, Co-Investment, Fund of Funds, Growth, Secondaries, Venture (General)",Distressed Debt,"Goldman's alternative investments platform (formerly AIMS) - fund of funds, PE, real estate, hedge funds"
Clayton Dubilier & Rice,Independent Firm," 5,404  ",1978,New York,131,119,"57,000",435,-,-,"15,551",-,"54,036",-,9,18,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, PIPE, Private to Public, Privatisation, Public to Private, Recapitalisation, Restructuring, Spin-Offs",-,"Operational excellence-focused buyout firm known for building stronger, more profitable businesses through hands-on improvement"
Blue Owl,Independent Firm," 3,646  ",2016,New York,110,36,"4,800","2,582","57,844","95,104","3,941","2,417","36,458","11,220",23,33,"Buyout, Co-Investment, Complex Situation, Early Stage: Seed, Expansion / Late Stage, Growth","BDCs, CLOs, Direct Lending, Blended / Opportunistic Debt","Public alternative asset manager ($284B AUM) specializing in GP stakes, direct lending, credit solutions"
New Mountain Capital,Independent Firm," 3,620  ",1999,New York,137,112,-,401,-,-,"15,357",502,"36,195","3,452",6,12,"Buyout, Growth, Management Buyout, PIPE, Recapitalisation, Restructuring, pre-IPO","BDCs, CLOs, Direct Lending, Junior / Subordinated Debt, Mezzanine, Senior Debt","Defensive growth strategy in non-cyclical sectors, focuses on business building rather than financial engineering"
Brookfield Asset Management,Corporate Spin-off," 3,609  ",1899,New York,"2,500",2,"199,900",400,"147,000","332,000","5,976","3,500","36,094","6,400",7,15,"Buyout, Co-Investment, Early Stage, Expansion / Late Stage, Growth, PIPE, Public to Private, Recapitalisation, Restructuring, Turnaround","CLOs, Direct Lending, Distressed Debt, Infrastructure Debt, Mezzanine, Real Estate Debt, Special Situations, Blended / Opportunistic Debt, Junior / Subordinated Debt, Senior Debt","Global alternative asset manager ($1T+ AUM) in real estate, infrastructure, renewable power, PE, credit"
Goldman Sachs Asset Management,Captive Arm – Bank," 3,379  ",1988,New York,"2,479",3,"1,000,000","1,328","90,000","110,000","6,213","15,811","33,789","64,675",9,31,"Balanced, Buyout, Co-Investment, Divestiture, Early Stage: Start-up, Expansion / Late Stage, Growth, Hybrid, Recapitalisation, Restructuring, Spin-Offs, pre-IPO","BDCs, Direct Lending, Distressed Debt, Mezzanine, Real Estate Debt, Special Situations, Blended / Opportunistic Debt, Junior / Subordinated Debt, Mezzanine, Senior Debt, Unitranche Debt",Captive arm turnaround and restructuring specialist buyout and growth equity firm
